SourceCodeId	SourceCodeSystem	SourceCode	SourceName	SourceDescription	Frequency	InitialComments	InitialStatus	ReviewerComments	ReviewerStatus	LastModification	LastModifier	ReviewChecked
1	MEDDRA	10059118	Biloma		51		Initial mapping			20190515145033		
2	MEDDRA	10019731	Hepatitis B		450		Initial mapping			20190515145033		
3	MEDDRA	10004663	Biliary colic		446	In the UMLS, Galbladder pain is also viewed as a synonym for biliary colic. In general, UMLS is faily liberal with mapopings. Some of these mappinmgs are debateble. 	Initial mapping			20190515145033		
4	MEDDRA	10075445	Cholangitis infective		51		Initial mapping			20190515145033		
5	MEDDRA	10056885	Adenoviral hepatitis		1		Initial mapping			20190515145033		
6	MEDDRA	10068924	Anorectal varices		6	Note: DD with hemorrhoids needs to be explained? Or treat them as a single entitiy?	Initial mapping			20190515145033		
7	MEDDRA	10071198	Allergic hepatitis		1		Initial mapping			20190515145033		
8	MEDDRA	10058941	Bile duct necrosis		6		Initial mapping			20190515145033		
9	MEDDRA	10023129	Jaundice cholestatic		426		Initial mapping			20190515145033		
10	MEDDRA	10057572	Gastric varices haemorrhage		50		Initial mapping			20190524002821	Johan van der Lei	
11	MEDDRA	10006537	Budd-Chiari syndrome		6		Initial mapping			20190515145033		
12	MEDDRA	10057110	Hepatic mass		50		Initial mapping			20190515145033		
13	MEDDRA	10051341	Bile duct stenosis		407		Initial mapping			20190515145033		
14	MEDDRA	10001806	Alpha-1 anti-trypsin deficiency		1		Initial mapping			20190515145033		
15	MEDDRA	10061760	Cholangitis chronic		6		Initial mapping			20190515145033		
16	MEDDRA	10019705	Hepatic pain		400		Initial mapping			20190515145033		
17	MEDDRA	10070479	Urobilinogen urine increased		49		Initial mapping			20190515145033		
18	MEDDRA	10001942	Ammonia abnormal		1		Initial mapping			20190724144024	Johan van der Lei	
19	MEDDRA	10049634	Cholecystocholangitis		6		No mapping available			20190603174252	Johan van der Lei	
20	MEDDRA	10072268	Drug-induced liver injury		395		Initial mapping			20190515145033		
21	MEDDRA	10051068	Gallbladder empyema		48		Initial mapping			20190515145033		
22	MEDDRA	10008625	Choledochal cyst		6		Initial mapping			20190515145033		
23	MEDDRA	10030210	Oesophageal varices haemorrhage		393		Initial mapping			20190515145033		
24	MEDDRA	10016262	Fatty liver alcoholic		6		Initial mapping			20190515145033		
25	MEDDRA	10060851	Hyperphosphatasaemia		389	What is the meaning? Need to discuss.	Initial mapping			20190524001545	Johan van der Lei	
26	MEDDRA	10064558	Total bile acids increased		48	Checked by Walter	Initial mapping modified			20220510140500	Johan van der Lei	
27	MEDDRA	10064902	Anomalous arrangement of pancreaticobiliary duct		1		No mapping available			20190515145033		
28	MEDDRA	10024652	Liver abscess		358		Initial mapping			20190515145033		
29	MEDDRA	10052285	Focal nodular hyperplasia		6		Initial mapping			20190515145033		
30	MEDDRA	10023138	Jaundice neonatal		357		Initial mapping			20190515145033		
31	MEDDRA	10003971	Bacillary angiomatosis		1		Initial mapping			20190515145033		
32	MEDDRA	10001549	Alanine aminotransferase decreased		47	There is no dedicated Snomend term for decreased ALT. 	Initial mapping			20190724141908	Johan van der Lei	
33	MEDDRA	10019634	Hepatic artery aneurysm		6		Initial mapping			20190515145033		
34	MEDDRA	10020580	Hyperbilirubinaemia neonatal		335		Initial mapping			20190515145033		
35	MEDDRA	10019754	Hepatitis cholestatic		47		Initial mapping			20190515145033		
36	MEDDRA	10062934	Bile duct pressure increased		1		No mapping available			20190515145033		
37	MEDDRA	10060793	Hepatic enzyme increased		6		Initial mapping			20190515145033		
38	MEDDRA	10056972	Hydrocholecystis		47		Initial mapping			20190515145033		
39	MEDDRA	10060105	Liver function test		324		Initial mapping			20190619142541	Johan van der Lei	
40	MEDDRA	10019780	Hepatitis infectious		6	In Snomed, ingectious hepatitis is a synonym of hepatitis B. Needs to be discussed.	Initial mapping			20190515145033		
41	MEDDRA	10058528	Bile output increased		1		Initial mapping			20190724143221	Johan van der Lei	
42	MEDDRA	10009208	Cirrhosis alcoholic		45		Initial mapping			20190515145033		
43	MEDDRA	10077835	Biliary dyspepsia		1		No mapping available			20190515145033		
44	MEDDRA	10068356	Biliary polyp		1	In Snomed, this diagnosis is standard subdivided in either malignant or bening polyp -- they result in a single already excisting Snomed code. 	Initial mapping			20190515145033		
45	MEDDRA	10005370	Blood bilirubin unconjugated increased		313		Initial mapping			20190515145033		
46	MEDDRA	10051199	Hepatic artery stenosis		44		Initial mapping			20190515145033		
47	MEDDRA	10019781	Hepatitis infectious mononucleosis		6		Initial mapping			20190515145033		
48	MEDDRA	10004792	Biopsy liver abnormal		1		Initial mapping			20190515145033		
49	MEDDRA	10062631	Cholecystitis infective		301		Initial mapping			20190515145033		
50	MEDDRA	10048834	Polycystic liver disease		6		Initial mapping			20190515145033		
51	MEDDRA	10005367	Blood bilirubin normal		1		Initial mapping			20190515145033		
52	MEDDRA	10072160	Chronic graft versus host disease in liver		43		Initial mapping			20190515145033		
53	MEDDRA	10048611	Cholaemia		1		No mapping available			20190515145033		
54	MEDDRA	10036206	Portal vein thrombosis		246		Initial mapping			20190515145033		
55	MEDDRA	10050899	Porcelain gallbladder		6		Initial mapping			20190515145033		
56	MEDDRA	10058120	Tuberculosis liver		6		Initial mapping			20190515145033		
57	MEDDRA	10004593	Bile duct cancer		234		Initial mapping			20190619142434	Johan van der Lei	
58	MEDDRA	10053219	Non-alcoholic steatohepatitis		43		Initial mapping			20190515145033		
59	MEDDRA	10053629	Cholangiectasis acquired		1		Initial mapping			20190515145033		
60	MEDDRA	10009344	Clonorchiasis		1		Initial mapping			20190515145033		
61	MEDDRA	10019837	Hepatocellular injury		234		Initial mapping			20190515145033		
62	MEDDRA	10068925	Anorectal varices haemorrhage		5		Initial mapping			20190724141300	Johan van der Lei	
63	MEDDRA	10008605	Cholangitis acute		219		Initial mapping			20190515145033		
64	MEDDRA	10068547	Bacterascites		5		No mapping available			20190515145033		
65	MEDDRA	10066263	Acute graft versus host disease in liver		42	Note that the MEDDRA code is specific for the liver. Cannot be mapped to a single Snomed code.	Initial mapping			20190515145033		
66	MEDDRA	10056533	Congenital hepatic fibrosis		1		Initial mapping			20190515145033		
67	MEDDRA	10019727	Hepatitis acute		216		Initial mapping			20190515145033		
68	MEDDRA	10004665	Biliary fistula		41		Initial mapping			20190515145033		
69	MEDDRA	10056091	Varices oesophageal		198		Initial mapping			20190515145033		
70	MEDDRA	10068289	Cystic fibrosis hepatic disease		1		Initial mapping			20190515145033		
71	MEDDRA	10065202	Biliary tract infection bacterial		5		Initial mapping			20190515145033		
72	MEDDRA	10049704	Gallbladder polyp		186		Initial mapping			20190515145033		
73	MEDDRA	10071265	Diabetic hepatopathy		1		No mapping available			20190515145033		
74	MEDDRA	10073072	Gallbladder neoplasm		5		Initial mapping			20190515145033		
75	MEDDRA	10010186	Complications of transplanted liver		41		Initial mapping			20190515145033		
76	MEDDRA	10047216	Venoocclusive liver disease		172		Initial mapping			20190515145033		
77	MEDDRA	10051010	Duodenal varices		1		Initial mapping			20190515145033		
78	MEDDRA	10017637	Gallbladder oedema		5		Initial mapping			20190515145033		
79	MEDDRA	10052554	Foetor hepaticus		1		Initial mapping			20190515145033		
80	MEDDRA	10067979	Traumatic liver injury		41		Initial mapping			20190515145033		
81	MEDDRA	10017626	Gallbladder disorder		168		Initial mapping			20190515145033		
82	MEDDRA	10067796	Haemorrhagic hepatic cyst		5		No mapping available			20190515145033		
83	MEDDRA	10067125	Liver injury		167		Initial mapping			20190515145033		
84	MEDDRA	10076240	Gallbladder adenoma		1		Initial mapping			20190515145033		
85	MEDDRA	10019636	Hepatic artery thrombosis		40		Initial mapping			20190515145033		
86	MEDDRA	10051991	Hepatic artery occlusion		5		Initial mapping			20190619142751	Johan van der Lei	
87	MEDDRA	10061695	Biliary tract infection		165		Initial mapping			20190515145033		
88	MEDDRA	10073067	Gallbladder adenosquamous carcinoma		1		Initial mapping			20190515145033		
89	MEDDRA	10001627	Alcoholic liver disease		39		Initial mapping			20190515145033		
90	MEDDRA	10052274	Hepatopulmonary syndrome		5		Initial mapping			20190515145033		
91	MEDDRA	10019795	Hepatitis toxic		165		Initial mapping			20190515145033		
92	MEDDRA	10019845	Hepatorenal failure		39	Note that in Snomed hepatorenal failure and hepatorenal syndrome are considered synonyms.	Initial mapping			20190515145033		
93	MEDDRA	10058281	Gallbladder cancer stage II		1	mapped uphill	Initial mapping			20190515145033		
94	MEDDRA	10023130	Jaundice extrahepatic obstructive		5		Initial mapping			20190515145033		
95	MEDDRA	10057987	Gallbladder mucocoele		1		Initial mapping			20190515145033		
96	MEDDRA	10077692	Liver function test increased		165		Initial mapping			20190515145033		
97	MEDDRA	10049478	Liver graft loss		5		No mapping available			20190515145033		
98	MEDDRA	10050897	Portal hypertensive gastropathy		36		Initial mapping			20190515145033		
99	MEDDRA	10019719	Hepatitis A		96		Initial mapping			20190515145033		
100	MEDDRA	10061947	Liver scan abnormal		5		Initial mapping			20190603180740	Johan van der Lei	
101	MEDDRA	10036200	Portal hypertension		164		Initial mapping			20190515145033		
102	MEDDRA	10068997	Hepatic artery flow decreased		1		No mapping available			20190515145033		
103	MEDDRA	10019695	Hepatic neoplasm		163		Initial mapping			20190515145033		
104	MEDDRA	10062685	Hepatic enzyme abnormal		91		Initial mapping			20190515145033		
105	MEDDRA	10065274	Hepatic calcification		1		No mapping available			20190515145033		
106	MEDDRA	10019646	Hepatic cyst		161		Initial mapping			20190515145033		
107	MEDDRA	10062195	Metastases to biliary tract		5		Initial mapping			20190515145033		
108	MEDDRA	10056529	Biliary dyskinesia		90		Initial mapping			20190515145033		
109	MEDDRA	10049653	Hepatic candidiasis		1		Initial mapping			20190603175458	Johan van der Lei	
110	MEDDRA	10019677	Hepatic haemorrhage		89		Initial mapping			20190515145033		
111	MEDDRA	10055110	Hepatic cancer metastatic		155		Initial mapping			20190515145033		
112	MEDDRA	10073851	Tumour of ampulla of Vater		5		Initial mapping			20190515145033		
113	MEDDRA	10023025	Ischaemic hepatitis		89		Initial mapping			20190515145033		
114	MEDDRA	10060794	Hepatic enzyme decreased		1		Initial mapping			20190724144501	Johan van der Lei	
115	MEDDRA	10000804	Acute hepatic failure		148		Initial mapping			20190724142100	Johan van der Lei	
116	MEDDRA	10017638	Gallbladder pain		85		Initial mapping			20190515145033		
117	MEDDRA	10067376	Ampulla of Vater stenosis		4		Initial mapping			20190515145033		
118	MEDDRA	10062708	Biliary abscess		4		No mapping available			20190515145033		
119	MEDDRA	10017636	Gallbladder obstruction		81		Initial mapping			20190524002608	Johan van der Lei	
120	MEDDRA	10064668	Hepatic infiltration eosinophilic		1		No mapping available			20190515145033		
121	MEDDRA	10053113	Bilirubin urine		4	What is exactly the meaning of this term in MedDRA? As this is unbder investigations, I belive that it refers to measurement in urine (and not the presence of bilirubin in the urine).	Initial mapping			20190515145033		
122	MEDDRA	10024715	Liver transplant rejection		143		Initial mapping			20190515145033		
123	MEDDRA	10056522	Infection		79		Initial mapping			20190724124556	Johan van der Lei	
124	MEDDRA	10008598	Cholangiogram		4		Initial mapping			20190515145033		
125	MEDDRA	10051659	Hepatic siderosis		1		Initial mapping			20190515145033		
126	MEDDRA	10017614	Gallbladder cancer		137		Initial mapping			20190515145033		
127	MEDDRA	10061998	Hepatic lesion		75		Initial mapping			20190515145033		
128	MEDDRA	10067388	Hepatic angiosarcoma		4		Initial mapping			20190515145033		
129	MEDDRA	10019768	Hepatitis E		73		Initial mapping			20190515145033		
130	MEDDRA	10074494	Hepatic vascular thrombosis		1		Initial mapping			20190724145141	Johan van der Lei	
131	MEDDRA	10019773	Hepatitis G		1		Initial mapping			20190515145033		
132	MEDDRA	10019659	Hepatic echinococciasis		4		Initial mapping			20190515145033		
133	MEDDRA	10062883	Biliary anastomosis complication		121		Initial mapping			20190515145033		
134	MEDDRA	10019645	Hepatic congestion		67		Initial mapping			20190515145033		
135	MEDDRA	10019786	Hepatitis non-A non-B		1		Initial mapping			20190515145033		
136	MEDDRA	10023128	Jaundice acholuric		4		No mapping available			20190724125801	Johan van der Lei	
137	MEDDRA	10008593	Cholangiocarcinoma		118		Initial mapping			20190524002316	Johan van der Lei	
138	MEDDRA	10020575	Hyperammonaemia		116		Initial mapping			20190515145033		
139	MEDDRA	10067266	Liver contusion		4		Initial mapping			20190515145033		
140	MEDDRA	10001547	Alanine aminotransferase abnormal		66		Initial mapping			20190515145033		
141	MEDDRA	10019799	Hepatitis viral		111		Initial mapping			20190515145033		
142	MEDDRA	10019819	Hepato-lenticular degeneration		1		Initial mapping			20190515145033		
143	MEDDRA	10051667	Metastases to gallbladder		4		Initial mapping			20190515145033		
144	MEDDRA	10001946	Ammonia increased		64		Initial mapping			20190724144726	Johan van der Lei	
145	MEDDRA	10077631	Liver disorder		1		Initial mapping			20190515145033		
146	MEDDRA	10019846	Hepatorenal syndrome		111	Note that in Snomed hepatorenal failure and hepatorenal syndrome are considered synonyms.	Initial mapping			20190515145033		
147	MEDDRA	10019676	Hepatic haematoma		63		Initial mapping			20190515145033		
148	MEDDRA	10004791	Biopsy liver		58		Initial mapping			20190515145033		
149	MEDDRA	10056528	Neonatal cholestasis		4		Initial mapping			20190515145033		
150	MEDDRA	10060106	Liver function test normal		1		Initial mapping			20190515145033		
151	MEDDRA	10036182	Porphyria acute		4		Initial mapping			20190515145033		
152	MEDDRA	10057586	Post procedural bile leak		111		Initial mapping			20190603180642	Johan van der Lei	
