SourceCodeId	SourceCodeSystem	SourceCode	SourceName	GroupId	TargetConceptId	TargetConceptCode	TargetConceptName	TargetDomain	TargetClass	StandardCode
1	MEDDRA	10059118	Biloma	1	4340957	235932003	Bile duct leakage	Condition	Clinical Finding	S
2	MEDDRA	10019731	Hepatitis B	1	4281232	66071002	Type B viral hepatitis	Condition	Clinical Finding	S
3	MEDDRA	10004663	Biliary colic	1	4291807	37389005	Biliary colic	Condition	Clinical Finding	S
4	MEDDRA	10075445	Cholangitis infective	1	4231827	405590003	Infective cholangitis	Condition	Clinical Finding	S
5	MEDDRA	10056885	Adenoviral hepatitis	1	4059294	197344005	Hepatitis caused by adenovirus	Condition	Clinical Finding	S
6	MEDDRA	10068924	Anorectal varices	1	4090008	281088000	Anorectal structure	Spec Anatomic Site	Body Structure	S
6	MEDDRA	10068924	Anorectal varices	1	312349	128060009	Venous varices	Condition	Clinical Finding	S
7	MEDDRA	10071198	Allergic hepatitis	1	4139051	426364002	Allergic hepatitis	Condition	Clinical Finding	S
8	MEDDRA	10058941	Bile duct necrosis	1	4154158	28273000	Bile duct structure	Spec Anatomic Site	Body Structure	S
8	MEDDRA	10058941	Bile duct necrosis	1	4280654	6574001	Necrosis	Observation	Morph Abnormality	S
9	MEDDRA	10023129	Jaundice cholestatic	1	4185719	44018007	Cholestatic jaundice syndrome	Condition	Clinical Finding	S
10	MEDDRA	10057572	Gastric varices haemorrhage	1	4087310	24807004	Bleeding gastric varices	Condition	Clinical Finding	S
11	MEDDRA	10006537	Budd-Chiari syndrome	1	196715	82385007	Budd-Chiari syndrome	Condition	Clinical Finding	S
12	MEDDRA	10057110	Hepatic mass	1	4101227	300332007	Liver mass	Condition	Clinical Finding	S
13	MEDDRA	10051341	Bile duct stenosis	1	4182588	43030007	Stenosis of bile duct	Condition	Clinical Finding	S
14	MEDDRA	10001806	Alpha-1 anti-trypsin deficiency	1	192275	30188007	Alpha-1-antitrypsin deficiency	Condition	Clinical Finding	S
15	MEDDRA	10061760	Cholangitis chronic	1	4215650	71912000	Chronic cholangitis	Condition	Clinical Finding	S
16	MEDDRA	10019705	Hepatic pain	1	4009394	102626001	Liver pain	Condition	Clinical Finding	S
17	MEDDRA	10070479	Urobilinogen urine increased	1	4088040	24390000	Increased urobilinogen level	Condition	Clinical Finding	S
18	MEDDRA	10001942	Ammonia abnormal	1	4135493	263654008	Abnormal	Spec Disease Status	Qualifier Value	S
18	MEDDRA	10001942	Ammonia abnormal	1	4245982	59960001	Ammonia measurement	Measurement	Procedure	S
20	MEDDRA	10072268	Drug-induced liver injury	1	4144765	427399008	Drug-induced disorder of liver	Condition	Clinical Finding	S
21	MEDDRA	10051068	Gallbladder empyema	1	4247767	73125001	Empyema of gallbladder	Condition	Clinical Finding	S
22	MEDDRA	10008625	Choledochal cyst	1	4260364	440471007	Choledochal cyst	Condition	Clinical Finding	S
23	MEDDRA	10030210	Oesophageal varices haemorrhage	1	28779	17709002	Bleeding esophageal varices	Condition	Clinical Finding	S
24	MEDDRA	10016262	Fatty liver alcoholic	1	193256	50325005	Alcoholic fatty liver	Condition	Clinical Finding	S
25	MEDDRA	10060851	Hyperphosphatasaemia	1	4065502	20165001	Hyperphosphatemia	Condition	Clinical Finding	S
26	MEDDRA	10064558	Total bile acids increased	1	4124458	260399008	Raised	Meas Value	Qualifier Value	S
26	MEDDRA	10064558	Total bile acids increased	1	4199294	5264008	Total bile acids measurement	Measurement	Procedure	S
26	MEDDRA	10064558	Total bile acids increased	2	4146067	35105006	Increased	Meas Value	Qualifier Value	S
26	MEDDRA	10064558	Total bile acids increased	2	4199294	5264008	Total bile acids measurement	Measurement	Procedure	S
28	MEDDRA	10024652	Liver abscess	1	201901	27916005	Abscess of liver	Condition	Clinical Finding	S
29	MEDDRA	10052285	Focal nodular hyperplasia	1	4047301	22995004	Focal nodular hyperplasia	Observation	Morph Abnormality	S
30	MEDDRA	10023138	Jaundice neonatal	1	435656	387712008	Neonatal jaundice	Condition	Clinical Finding	S
31	MEDDRA	10003971	Bacillary angiomatosis	1	4237587	58213005	Bacillary angiomatosis	Condition	Clinical Finding	S
32	MEDDRA	10001549	Alanine aminotransferase decreased	1	4095055	250637003	ALT - blood measurement	Measurement	Procedure	S
32	MEDDRA	10001549	Alanine aminotransferase decreased	1	4083207	281300000	Below reference range	Meas Value	Qualifier Value	S
33	MEDDRA	10019634	Hepatic artery aneurysm	1	4093607	25878000	Aneurysm of hepatic artery	Condition	Clinical Finding	S
34	MEDDRA	10020580	Hyperbilirubinaemia neonatal	1	4105871	281610001	Neonatal hyperbilirubinemia	Condition	Clinical Finding	S
35	MEDDRA	10019754	Hepatitis cholestatic	1	4318541	95556007	Cholestatic hepatitis	Condition	Clinical Finding	S
37	MEDDRA	10060793	Hepatic enzyme increased	1	45769139	707724006	Elevated liver enzymes level	Condition	Clinical Finding	S
38	MEDDRA	10056972	Hydrocholecystis	1	195307	47312008	Hydrops of gallbladder	Condition	Clinical Finding	S
39	MEDDRA	10060105	Liver function test	2	4158182	271552009	Liver function tests - general	Measurement	Procedure	S
40	MEDDRA	10019780	Hepatitis infectious	1	4223947	40468003	Viral hepatitis, type A	Condition	Clinical Finding	S
41	MEDDRA	10058528	Bile output increased	1	4149338	35184007	Bile secretion	Observation	Observable Entity	S
41	MEDDRA	10058528	Bile output increased	1	4146067	35105006	Increased	Meas Value	Qualifier Value	S
42	MEDDRA	10009208	Cirrhosis alcoholic	1	196463	420054005	Alcoholic cirrhosis	Condition	Clinical Finding	S
44	MEDDRA	10068356	Biliary polyp	1	4146820	34707002	Biliary tract structure	Spec Anatomic Site	Body Structure	S
44	MEDDRA	10068356	Biliary polyp	1	4187628	41329004	Polyp	Observation	Morph Abnormality	S
45	MEDDRA	10005370	Blood bilirubin unconjugated increased	1	4018181	104553007	Bilirubin, non-glucuronidated measurement	Measurement	Procedure	S
45	MEDDRA	10005370	Blood bilirubin unconjugated increased	1	4146067	35105006	Increased	Meas Value	Qualifier Value	S
46	MEDDRA	10051199	Hepatic artery stenosis	1	4226129	405564001	Hepatic artery stenosis	Condition	Clinical Finding	S
47	MEDDRA	10019781	Hepatitis infectious mononucleosis	1	4119142	302919001	Epstein-Barr virus hepatitis	Condition	Clinical Finding	S
48	MEDDRA	10004792	Biopsy liver abnormal	1	4314001	86259008	Biopsy of liver	Procedure	Procedure	S
48	MEDDRA	10004792	Biopsy liver abnormal	1	4013824	165325009	Biopsy result abnormal	Condition	Clinical Finding	S
49	MEDDRA	10062631	Cholecystitis infective	1	192956	76581006	Cholecystitis	Condition	Clinical Finding	S
50	MEDDRA	10048834	Polycystic liver disease	1	197654	72925005	Congenital cystic disease of liver	Condition	Clinical Finding	S
51	MEDDRA	10005367	Blood bilirubin normal	1	4043077	166611006	Serum bilirubin normal	Condition	Clinical Finding	S
52	MEDDRA	10072160	Chronic graft versus host disease in liver	1	434314	402356004	Chronic graft-versus-host disease	Condition	Clinical Finding	S
52	MEDDRA	10072160	Chronic graft versus host disease in liver	1	4009105	10200004	Liver structure	Spec Anatomic Site	Body Structure	S
54	MEDDRA	10036206	Portal vein thrombosis	1	199837	17920008	Portal vein thrombosis	Condition	Clinical Finding	S
55	MEDDRA	10050899	Porcelain gallbladder	1	4006782	110995008	Intramural calcification of gallbladder	Condition	Clinical Finding	S
56	MEDDRA	10058120	Tuberculosis liver	1	4091181	186273003	Tuberculosis of liver	Condition	Clinical Finding	S
57	MEDDRA	10004593	Bile duct cancer	1	4321680	70179006	Cholangiocarcinoma	Observation	Morph Abnormality	S
57	MEDDRA	10004593	Bile duct cancer	2	4181345	363415003	Malignant tumor of biliary tract	Condition	Clinical Finding	S
57	MEDDRA	10004593	Bile duct cancer	3	40486896	446189008	Primary malignant neoplasm of extrahepatic bile duct	Condition	Clinical Finding	S
58	MEDDRA	10053219	Non-alcoholic steatohepatitis	1	40484532	442685003	Nonalcoholic steatohepatitis	Condition	Clinical Finding	S
59	MEDDRA	10053629	Cholangiectasis acquired	1	4334243	232025004	Acquired peripheral telangiectasia	Condition	Clinical Finding	S
60	MEDDRA	10009344	Clonorchiasis	1	194280	11938002	Clonorchiasis	Condition	Clinical Finding	S
61	MEDDRA	10019837	Hepatocellular injury	1	4352876	243978007	Liver damage	Condition	Clinical Finding	S
62	MEDDRA	10068925	Anorectal varices haemorrhage	1	4090008	281088000	Anorectal structure	Spec Anatomic Site	Body Structure	S
62	MEDDRA	10068925	Anorectal varices haemorrhage	1	4179955	50960005	Hemorrhage	Observation	Morph Abnormality	S
62	MEDDRA	10068925	Anorectal varices haemorrhage	2	4090008	281088000	Anorectal structure	Spec Anatomic Site	Body Structure	S
62	MEDDRA	10068925	Anorectal varices haemorrhage	2	312349	128060009	Venous varices	Condition	Clinical Finding	S
62	MEDDRA	10068925	Anorectal varices haemorrhage	3	4026112	12063002	Rectal hemorrhage	Condition	Clinical Finding	S
63	MEDDRA	10008605	Cholangitis acute	1	4267297	6215006	Acute cholangitis	Condition	Clinical Finding	S
65	MEDDRA	10066263	Acute graft versus host disease in liver	1	439416	402355000	Acute graft-versus-host disease	Condition	Clinical Finding	S
65	MEDDRA	10066263	Acute graft versus host disease in liver	1	4009105	10200004	Liver structure	Spec Anatomic Site	Body Structure	S
66	MEDDRA	10056533	Congenital hepatic fibrosis	1	4194229	79607001	Congenital hepatic fibrosis	Condition	Clinical Finding	S
67	MEDDRA	10019727	Hepatitis acute	1	4243475	37871000	Acute hepatitis	Condition	Clinical Finding	S
68	MEDDRA	10004665	Biliary fistula	1	194407	53206008	Fistula of bile duct	Condition	Clinical Finding	S
69	MEDDRA	10056091	Varices oesophageal	1	24966	28670008	Esophageal varices	Condition	Clinical Finding	S
70	MEDDRA	10068289	Cystic fibrosis hepatic disease	1	4141669	427022004	Liver disease due to cystic fibrosis	Condition	Clinical Finding	S
71	MEDDRA	10065202	Biliary tract infection bacterial	1	432545	87628006	Bacterial infectious disease	Condition	Clinical Finding	S
71	MEDDRA	10065202	Biliary tract infection bacterial	1	4146820	34707002	Biliary tract structure	Spec Anatomic Site	Body Structure	S
72	MEDDRA	10049704	Gallbladder polyp	1	4055351	197433003	Polyp of gallbladder	Condition	Clinical Finding	S
74	MEDDRA	10073072	Gallbladder neoplasm	1	4130520	126854002	Neoplasm of gallbladder	Condition	Clinical Finding	S
75	MEDDRA	10010186	Complications of transplanted liver	1	200616	33167004	Complication of transplanted liver	Condition	Clinical Finding	S
76	MEDDRA	10047216	Venoocclusive liver disease	1	4277276	65617004	Veno-occlusive disease of the liver	Condition	Clinical Finding	S
77	MEDDRA	10051010	Duodenal varices	1	4119308	303086007	Duodenal varices	Condition	Clinical Finding	S
78	MEDDRA	10017637	Gallbladder oedema	1	195307	47312008	Hydrops of gallbladder	Condition	Clinical Finding	S
